REPORTING.YEAR,FACILITY.NAME,FACILITY.CITY,FACILITY.COUNTY,FACILITY.STATE,FACILITY.ZIP.CODE,PRIMARY.NAICS.CODE,LATITUDE,LONGITUDE,PARENT.COMPANY.NAME,CHEMICAL.NAME,TOTAL.AIR.EMISSIONS,TOTAL.UNDERGROUND.INJECTION,TOTAL.ON.SITE.LAND.RELEASES,TOTAL.TRANSFERRED.OFF.SITE.TO.DISPOSAL,TOTAL.SURFACE.WATER.DISCHARGE,TRANSFERS.TO.POTWS..METALS.AND.METAL.COMPOUNDS.,Chemical,CERCLA.Chemicals,HAPs,Metals.and.Metal.Compounds,PBT.Chemicals,Priority.Chemicals,OSHA.Chemicals,Other.Health.Effects,Body.Weight,Cardiovascular,Dermal,Developmental,Endocrine,Gastrointestinal,Hematological,Hepatic,Immunological,Metabolic,Musculoskeletal,Neurological,Ocular,Other.Systemic,Renal,Reproductive,Respiratory,Human.health.effects.information.not.identified,Acute,Intermediate,Chronic
2014,VAN NORMAN MOLDING CO,BRIDGEVIEW,COOK,IL,604552373,326121,41.71672,-87.80809,,STYRENE,44954,0,0,3300,0,0,STYRENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
2008,MCCROMETER,HEMET,RIVERSIDE,CA,92545,334514,33.72866,-117.00534,,COPPER,55932,0,0,0,0,0,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2009,FELDMEIER EQUIPMENT INC,SHELL ROCK,BUTLER,IA,50670,332420,42.715415,-92.577919,FELDMEIER EQUIPMENT INC,NICKEL,47367,0,0,170,0,0,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2005,SPECTRUM WEALTHY INC,GRAND RAPIDS,KENT,MI,49504,336399,42.95606,-85.68485,SPECTRUM INDUSTRIES,ZINC COMPOUNDS,5482,0,0,3,0,68,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2010,CERTAINTEED CORP,CHOWCHILLA,MADERA,CA,93610,327993,37.093176,-120.225005,SAINT-GOBAIN CORP,MERCURY,5483,0,0,0,0,0,MERCURY,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,YES
2012,COLUMBIA STEEL CASTING CO INC,PORTLAND,MULTNOMAH,OR,972036143,331513,45.60074,-122.73025,,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),29847,0,12050,0,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2013,LA-CO INDUSTRIES INC,ELK GROVE VILLAGE,COOK,IL,600075746,339940,41.99758,-87.96837,,N-METHYL-2-PYRROLIDONE,1,NA,NA,0,0,0,N-METHYL-2-PYRROLIDONE,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2007,NOBERT PLATING CO,CHICAGO,COOK,IL,60651,332813,41.907406,-87.726075,NOBERT PLATING CO,CYANIDE COMPOUNDS,37167,0,0,917,0,0,CYANIDE COMPOUNDS,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO
2013,US STEEL CORP-FAIRFIELD WORKS,FAIRFIELD,JEFFERSON,AL,35064,331110,33.48063,-86.936717,US STEEL CORP,POLYCYCLIC AROMATIC COMPOUNDS,1071,0,0,0,27.43,0,POLYCYCLIC AROMATIC COMPOUNDS,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2008,RINECO,BENTON,SALINE,AR,72015,562211,34.513889,-92.630556,,CYCLOHEXANE,41126,0,0,0,0,0,CYCLOHEXANE,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
2004,CHAMPION TECHNOLOGIES INC,KILGORE,GREGG,TX,75662,424690,32.41111,-94.90583,PERMIAN MUD SERVICE,METHANOL,47694,0,0,0,0,0,METHANOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES
2010,JESSUP MANUFACTURING CO,LAKE BLUFF,LAKE,IL,60044,313320,42.280633,-87.901472,JESSUP MANUFACTURING CO,TOLUENE,47007,0,0,0,0,0,TOLUENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES
2003,CLEAN HARBORS ARAGONITE LLC,GRANTSVILLE,TOOELE,UT,84029,562000,40.7344,-112.9681,CLEAN HARBORS INC,ACRYLIC ACID,5482,0,0,148.72,0,0,ACRYLIC ACID,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2004,CITIZENS GAS & COKE UTILITY - MANUFACTURING DIVISIONS,INDIANAPOLIS,MARION,IN,46203,333994,39.754167,-86.113889,,METHANOL,7741,0,0,0,0,0,METHANOL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,YES
2008,JM STUART STATION,MANCHESTER,ADAMS,OH,45144,221112,38.6364,-83.6929,THE DAYTON POWER & LIGHT CO,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),12131,0,0,0,0,0,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2013,POLYGON CO,WALKERTON,ST JOSEPH,IN,46574,326199,41.468066,-86.494618,,STYRENE,23287,0,0,824,0,0,STYRENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
2007,AKZO NOBEL COATINGS INC,WINSTON-SALEM,FORSYTH,NC,27105,325510,36.14361,-80.18833,AKZO NOBEL NV,XYLENE (MIXED ISOMERS),58249,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2008,ACTION PETROLEUM CO LTD,PRESTONSBURG,FLOYD,KY,41653,424710,37.671238,-82.78191,,"1,2,4-TRIMETHYLBENZENE",8897,0,0,0,0,0,1 2 4-TRIMETHYLBENZENE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2006,WISMARQ VALENCIA LLC,VALENCIA,BUTLER,PA,16059,332322,40.72456,-79.93143,,CERTAIN GLYCOL ETHERS,36825,0,0,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2012,GENERAL MOTORS WENTZVILLE ASSEMBLY,WENTZVILLE,ST CHARLES,MO,63385,336111,38.818962,-90.820916,GENERAL MOTORS LLC,XYLENE (MIXED ISOMERS),19303,0,0,0,0,0,XYLENE (MIXED ISOMERS),YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,YES
2005,HOUGHTON INTERNATIONAL INC,CARROLLTON,CARROLL,GA,30117,324191,33.56941,-85.06799,HOUGHTON INTERNATIONAL INC,ZINC COMPOUNDS,1,NA,NA,0,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2009,KTH PARTS INDUSTRIES INC,SAINT PARIS,CHAMPAIGN,OH,43072,336211,40.145432,-83.986543,,MANGANESE,49723,0,0,1089,0,0,MANGANESE,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,CORSTONE INDUSTRIES LLC,GREENVILLE,BUTLER,AL,36037,326191,31.81656,-86.64349,,STYRENE,45623,0,0,315,0,0,STYRENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES
2003,EQUILON ENTERPRISES LLC ODESSA TERMINAL,ODESSA,ECTOR,TX,79766,424710,31.8202,-102.3292,MAGELLAN LP,BENZENE,6697,0,0,0,0,0,BENZENE,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES
2011,BAY CAST INC,BAY CITY,BAY,MI,48708,331513,43.57643,-83.89792,,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,NA,NA,0,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2004,JOHANN HALTERMANN LTD,HOUSTON,HARRIS,TX,77015,325199,29.7551,-95.09824,MONUMENT CHEMICAL INC,N-BUTYL ALCOHOL,30440,0,0,0,250,0,N-BUTYL ALCOHOL,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES
2010,BALL METAL BEVERAGE CONTAINER CORP,MONTICELLO,WHITE,IN,47960,332431,40.750389,-86.774778,BALL CORP,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),1,NA,NA,0,0,0,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES
2004,DECORATIVE INDUSTRIES,SLOATSBURG,ROCKLAND,NY,109740128,325510,41.14767,-74.19154,KIRKER ENTERPRISES INC,DIBUTYL PHTHALATE,5482,0,0,0,0,0,DIBUTYL PHTHALATE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES
2007,HERITAGE THERMAL SERVICES,EAST LIVERPOOL,COLUMBIANA,OH,439205915,562213,40.631622,-80.54632,HERITAGE-WTI LLC,CHLOROBENZILATE,5482,0,0,10.02,0,0,CHLOROBENZILATE,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES
2009,BLACKFOOT BRASS,BLACKFOOT,BINGHAM,ID,83221,331528,43.21089,-112.41352,DURA-MARK DBA BLACKFOOT BRASS,MANGANESE COMPOUNDS,24468,0,0.11,148.55,0,0,MANGANESE COMPOUNDS,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,NEXEO SOLUTIONS LLC,WILLOW SPRINGS,COOK,IL,60480,424690,41.74627,-87.87706,NEXEO SOLUTIONS HOLDINGS LLC,CUMENE,1,NA,NA,0,0,0,CUMENE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES
2006,PFIZER INC GROTON SITE,GROTON,NEW LONDON,CT,6340,325412,41.33147,-72.07833,PFIZER INC,TRIETHYLAMINE,30440,0,0,0,0,0,TRIETHYLAMINE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES
2007,CMC IMPACT METALS,STRUTHERS,MAHONING,OH,44471,332811,41.05761,-80.586695,COMMERCIAL METALS CO,MANGANESE COMPOUNDS,1,NA,NA,0,0,0,MANGANESE COMPOUNDS,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2003,OSCO INDUSTRIES INC  PORTSMOUTH DIV,PORTSMOUTH,SCIOTO,OH,456621388,331511,38.739266,-82.995787,OSCO INDUSTRIES INC,ALUMINUM OXIDE (FIBROUS FORMS),5482,0,0,76160,0,0,ALUMINUM OXIDE (FIBROUS FORMS),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2010,NORTHVILLE INDUSTRIES CORP - SETAUKET TERMINAL,EAST SETAUKET,SUFFOLK,NY,11733,424710,40.91633,-73.09373,NIC HOLDING CORP,NAPHTHALENE,47367,0,0,0,0,0,NAPHTHALENE,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES
2006,A SCHULMAN INC,PLYMOUTH,MARSHALL,IN,46563,325991,41.35156,-86.3213,A SCHULMAN INC,LEAD COMPOUNDS,5482,0,0,38.66,0,0,LEAD COMPOUNDS,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2003,CUBBISON CO,YOUNGSTOWN,MAHONING,OH,445152026,332812,41.11208,-80.7798,,MANGANESE,5482,0,0,59,0,1,MANGANESE,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2009,SEMINOLE GENERATING STATION,PALATKA,PUTNAM,FL,321770000,221112,29.733333,-81.633333,SEMINOLE ELECTRIC COOPERATIVE,ARSENIC COMPOUNDS,37167,0,13203,0,71,0,ARSENIC COMPOUNDS,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,YES
2009,JACKSON OILS & SOLVENTS,INDIANAPOLIS,MARION,IN,46221,424710,39.739073,-86.19342,JACKSON OIL & SOLVENTS,N-HEXANE,1,NA,NA,0,0,0,N-HEXANE,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES
2008,VICTORY FINISHING TECHNOLOGIES  INC,PROVIDENCE,PROVIDENCE,RI,2903,332813,41.814548,-71.407607,,COPPER,5482,0,0,1886,0,39,COPPER,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO
2005,BRANDON SHORES & WAGNER COMPLEX,BALTIMORE,ANNE ARUNDEL,MD,212261746,221112,39.1797,-76.5334,TALEN ENERGY,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),64066,0,1400,7,9,1,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2010,CREATION TECHNOLOGIES TEXAS LLC,PLANO,COLLIN,TX,75074,334419,33.0109,-96.67034,CREATION TECHNOLOGIES INTERNATIONAL INC,LEAD,5482,0,0,0,0,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2003,ADM MILLING CO,BUFFALO,ERIE,NY,14203,311211,42.86545,-78.871425,ARCHER DANIELS MIDLAND CO,BROMOMETHANE,20500,0,0,0,0,0,BROMOMETHANE,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES
2014,COFFEEN ENERGY CENTER,COFFEEN,MONTGOMERY,IL,62017,221112,39.0586,-89.4031,DYNEGY INC,BARIUM COMPOUNDS,9129,0,1075920,0,14995,0,BARIUM COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES
2006,AXALTA COATING SYSTEMS LLC FORT MADISON PLANT,FORT MADISON,LEE,IA,526270319,325910,40.629103,-91.357717,AXALTA COATING SYSTEMS LLC,ZINC COMPOUNDS,47367,0,0,107,0,0,ZINC COMPOUNDS,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2012,FCA US KOKOMO TRANSMISSION PLANT,KOKOMO,HOWARD,IN,46902,336350,40.45932,-86.11479,FCA US LLC,NICKEL,28332,0,0,2838,0,38,NICKEL,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES
2008,PPG INDUSTRIES INC,CHICAGO,COOK,IL,60633,325510,41.672341,-87.581236,PPG INDUSTRIES INC,N-BUTYL ALCOHOL,43072,0,0,0,0,0,N-BUTYL ALCOHOL,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES
2004,ASTRALLOY STEEL PRODUCTS INC,BIRMINGHAM,JEFFERSON,AL,35215,,33.65305,-86.72447,NUCOR CORP,LEAD,5482,0,0,0,0.29,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
2003,RPM WOOD FINISHES GROUP INC,WESTFIELD,HAMPDEN,MA,1085,325510,42.12555,-72.72583,SPECIALTY PRODUCTS HOLDING CORP.,CERTAIN GLYCOL ETHERS,12474,0,0,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2008,NCP COATINGS INC,NILES,BERRIEN,MI,491200307,325510,41.8124,-86.2536,NCP COATINGS INC,"1,2,4-TRIMETHYLBENZENE",17388,0,0,0,0,0,1 2 4-TRIMETHYLBENZENE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2008,GENERAL MOTORS LLC BOWLING GREEN ASSEMBLY PLANT,BOWLING GREEN,WARREN,KY,42101,336111,37.01158,-86.36653,GENERAL MOTORS LLC,N-METHYL-2-PYRROLIDONE,64043,0,0,0,0,0,N-METHYL-2-PYRROLIDONE,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES
2003,ARKEMA COATING RESINS,SAUKVILLE,OZAUKEE,WI,53080,325211,43.3789,-87.94525,ARKEMA DELAWARE INC,SEC-BUTYL ALCOHOL,25687,0,0,0,0,0,SEC-BUTYL ALCOHOL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2007,MASCO CABINETRY MIDDLEFIELD LLC - KRAFTMAID P3,ORWELL,ASHTABULA,OH,44076,337110,41.54471,-80.85991,MASCO CORP,CERTAIN GLYCOL ETHERS,32076,0,0,0,0,0,CERTAIN GLYCOL ETHERS,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
2012,CONTRACT PACKAGING INC,COVINGTON,NEWTON,GA,30014,325320,33.61544,-83.82769,,CARBARYL,41814,0,0,0,0,0,CARBARYL,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES
2012,ENGINEERED CONTROLS INTERNATIONAL,WHITSETT,GUILFORD,NC,27377,332911,36.05328,-79.59847,ENGINEERED CONTROLS INTERNATIONAL,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,NA,NA,0,0,0,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES
2003,MARINE CORPS MOUNTAIN WARFARE TRAINING CENTER,BRIDGEPORT,MONO,CA,93517,928110,38.256667,-119.228333,US DEPARTMENT OF DEFENSE,LEAD,5482,0,624.5,0,0,0,LEAD,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO
